Player,Pos,MP,Min,Mn/MP,Player_ID,Calculated_Mn_MP,Mn_MP_Difference
João Félix,MF,3,201.0,67.0,8aafd64f,67.0,0.0
Lewis Ferguson,MF,3,270.0,90.0,ee64a822,90.0,0.0
Bruno Fernandes,MF,5,422.0,84.0,507c7bdf,84.4,0.4000000000000057
Enzo Fernández,MF,7,659.0,94.0,5ff4ab71,94.14285714285714,0.1428571428571388
Álvaro Fidalgo,MF,3,96.0,32.0,c705cdc4,32.0,0.0
Sherel Floranus,DF,3,270.0,90.0,5ad49fbb,90.0,0.0
Seko Fofana,MF,2,92.0,46.0,5313ed43,46.0,0.0
Deveron Fonville,DF,3,241.0,80.0,21932982,80.33333333333333,0.3333333333333286
Alan Franco,DF,4,251.0,63.0,c76b161b,62.75,0.25
Alex Freeman,DF,5,374.0,75.0,754f150b,74.8,0.20000000000000284
Remo Freuler,MF,6,592.0,99.0,98d2c2c4,98.66666666666667,0.3333333333333286
Marco Friedl,DF,1,24.0,24.0,f86ad3f5,24.0,0.0
Juriën Gaari,DF,2,166.0,83.0,bf7a9d1a,83.0,0.0
Jassem Gaber,MF,3,149.0,50.0,af9ef8aa,49.666666666666664,0.3333333333333357
Matías Galarza,MF,4,388.0,97.0,8e97a57b,97.0,0.0
Jesús Gallardo,DF,5,373.0,75.0,d0846b6c,74.6,0.4000000000000057
Ben Gannon-Doak,MF,3,186.0,62.0,733f1a7d,62.0,0.0
Jason Geria,DF,2,62.0,31.0,cd494a8d,31.0,0.0
Khalid Al Ghannam,MF,1,1.0,1.0,c16843c7,1.0,0.0
Ismaël Gharbi,MF,3,127.0,42.0,5b3cfa12,42.333333333333336,0.3333333333333357
Saman Ghoddos,MF,3,208.0,69.0,f7b1d4e0,69.33333333333333,0.3333333333333286
Mohammad Ghorbani,MF,1,90.0,90.0,4a078e18,90.0,0.0
Lee Gi-hyuk,DF,3,270.0,90.0,18c8c3c7,90.0,0.0
Armin Gigovic,MF,2,79.0,40.0,d0a0858e,39.5,0.5
Aníbal Godoy,MF,1,1.0,1.0,2d496ca3,1.0,0.0
Andrés Gómez,MF,1,1.0,1.0,76a82373,1.0,0.0
Diego Gómez,MF,4,304.0,76.0,916728da,76.0,0.0
Gustavo Gómez,DF,5,480.0,96.0,d5ce52a5,96.0,0.0
Nicolás González,MF,7,259.0,37.0,2374aaca,37.0,0.0
Anthony Gordon,MF,6,396.0,66.0,2bd83368,66.0,0.0
Leon Goretzka,MF,3,99.0,33.0,cc86b9a3,33.0,0.0
Ryan Gravenberch,MF,4,345.0,86.0,b8e740fb,86.25,0.25
Marc Guéhi,DF,8,663.0,83.0,d0706b27,82.875,0.125
Idrissa Gueye,MF,4,361.0,90.0,72c812f3,90.25,0.25
Pape Gueye,MF,4,234.0,59.0,7155e3e1,58.5,0.5
Bruno Guimarães,MF,5,416.0,83.0,82518f62,83.2,0.20000000000000284
Arda Güler,MF,3,270.0,90.0,3741ca58,90.0,0.0
Malo Gusto,DF,5,121.0,24.0,d56b9520,24.2,0.1999999999999993
Brian Gutiérrez,MF,4,198.0,50.0,d88f31db,49.5,0.5
Jorge Gutiérrez,DF,1,87.0,87.0,56f6d192,87.0,0.0
Joško Gvardiol,DF,4,139.0,35.0,5ad50391,34.75,0.25
Aziz Gʻaniyev,MF,2,122.0,61.0,0c492054,61.0,0.0
Ihsan Haddad,DF,3,260.0,87.0,85660a5d,86.66666666666667,0.3333333333333286
Anis Hadj Moussa,MF,3,98.0,33.0,7bc7eef2,32.666666666666664,0.3333333333333357
Jaouen Hadjam,DF,3,109.0,36.0,576817b7,36.333333333333336,0.3333333333333357
Amir Hadžiahmetović,MF,1,6.0,6.0,e8213ed3,6.0,0.0
Dennis Hadžikadunić,DF,1,27.0,27.0,82cfae2a,27.0,0.0
Karim Hafez,DF,3,172.0,57.0,d2debf23,57.333333333333336,0.3333333333333357
Ehsan Hajsafi,DF,2,91.0,46.0,b060e3b8,45.5,0.5
Achraf Hakimi,DF,6,570.0,95.0,e42d61c7,95.0,0.0
Redouane Halhal,DF,2,180.0,90.0,e17c2cec,90.0,0.0
Mohamed Amine Ben Hamida,DF,3,202.0,67.0,2a5e8f82,67.33333333333333,0.3333333333333286
Odiljon Hamrobekov,MF,2,77.0,39.0,03f63e77,38.5,0.5
Lee Han-beom,DF,3,270.0,90.0,071f2dd3,90.0,0.0
Grant Hanley,DF,2,180.0,90.0,e9254eec,90.0,0.0
