Player,Pos,MP,Mn/MP,Player_ID
Ibrahim Sangaré,MF,4,67.0,bced0375
Kaishū Sano,MF,3,90.0,7a7a6361
Danilo Santos,MF,4,12.0,a816dbfb
Douglas Santos,DF,5,88.0,c50e5bba
Bara Sapoko Ndiaye,MF,1,26.0,fa080d50
Joe Scally,DF,2,44.0,236f02cd
Xaver Schlager,MF,4,60.0,8f056768
Nico Schlotterbeck,DF,2,68.0,34e12499
Abdoulaye Seck,DF,1,57.0,f07a0fe5
Alidu Seidu,DF,1,78.0,cea59f02
Nicolas Seiwald,MF,4,79.0,28c6e925
Ayumu Seko,DF,2,43.0,5c6a4059
Marvin Senaya,DF,4,70.0,1d383c10
Marcos Senesi,DF,2,55.0,35141f4c
Jean Seri,MF,1,14.0,10efd0e1
Paik Seung-ho,MF,3,68.0,1e1bea09
Joaquin Seys,DF,1,30.0,0beabf0a
Jacob Shaffelburg,MF,5,18.0,339a2561
Mohammed Abu Al-Shamat,MF,3,45.0,dd65e243
Aimar Sher,MF,1,23.0,ef301f96
Otabek Shukurov,MF,3,79.0,62032a56
Nkosinathi Sibisi,DF,1,90.0,932f8e2b
Kwasi Sibo,MF,4,62.0,be834ad7
Niko Sigur,MF,3,42.0,5c56986b
Bernardo Silva,MF,4,24.0,3eb22ec9
Éderson Silva,MF,2,11.0,a9202def
Dominique Simon,MF,2,28.0,ffd8e8c5
Sarpreet Singh,MF,3,70.0,4ba886c6
Wilfried Singo,DF,2,86.0,8b609c34
